index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
1197	PPPGDP	CPV	0.231	0.274	0.299	0.34	0.366	0.41	0.43	0.46	0.505	0.554	0.579	0.606	0.639	0.702	0.767	0.841	0.914	1.001	1.097	1.246	1.367	1.484	1.586	1.739	1.875	2.048	2.303	2.582	2.808	2.793	2.869	3.044	3.134	3.21	3.287	3.358	3.54	3.762	4.002	4.257	4.52	4.805	5.111	2015
1241	PPPGDP	KHM	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.309	4.889	5.248	5.503	6.117	6.699	7.136	7.884	8.567	9.195	9.878	10.486	11.914	13.254	14.66	15.865	17.557	19.906	23.268	26.567	30.059	32.7	33.644	35.37	38.652	42.243	46.113	50.258	54.373	58.953	64.405	70.302	76.698	83.356	90.404	98.141	2013
1285	PPPGDP	CMR	10.371	13.272	15.162	16.839	18.739	20.906	22.776	22.854	21.794	22.241	21.643	21.521	21.34	21.158	21.069	22.219	23.736	25.426	26.96	28.484	30.348	32.441	34.26	36.351	38.734	40.898	43.513	46.126	48.387	49.697	51.948	55.216	58.819	63.087	68.022	72.718	76.948	81.535	86.942	93.165	99.786	107.163	115.185	2015
1329	PPPGDP	CAN	287.254	325.078	334.192	356.411	390.928	422.537	440.375	470.115	508.124	540.15	560.993	567.344	585.401	615.241	656.571	688.211	712.061	755.25	793.08	846.792	910.945	948.204	991.74	1,029.75	1,090.71	1,161.85	1,228.96	1,287.69	1,326.09	1,296.74	1,353.06	1,424.37	1,475.93	1,536.89	1,604.54	1,637.07	1,682.36	1,752.91	1,827.21	1,901.71	1,974.99	2,051.27	2,131.63	2016
1373	PPPGDP	CAF	0.926	1.144	1.171	1.144	1.302	1.394	1.525	1.563	1.646	1.802	1.829	1.903	1.914	1.961	2.21	2.352	2.209	2.419	2.537	2.672	2.687	2.759	2.809	2.669	2.815	2.977	3.215	3.453	3.593	3.682	3.841	4.049	4.293	2.762	2.84	3.009	3.186	3.411	3.663	3.939	4.238	4.567	4.925	2012
1417	PPPGDP	TCD	1.911	1.864	2.086	2.507	2.733	3.043	3.29	3.497	3.892	4.122	4.412	5.033	5.271	5.284	5.693	5.767	5.996	6.444	6.966	7.025	7.121	8.133	8.959	10.483	14.393	16.091	16.693	17.697	18.597	19.514	22.438	22.929	25.408	27.304	29.708	30.559	28.988	29.73	31.13	32.79	34.656	36.69	39.024	2015
1461	PPPGDP	CHL	38.354	44.54	40.876	41.299	45.282	47.651	51.332	56.106	62.302	71.589	76.962	85.659	97.365	106.381	114.145	126.831	137.906	150.631	159.058	160.659	173.096	182.906	191.475	203.31	223.901	244.387	267.871	288.57	304.542	302.085	323.643	350.325	375.802	397.323	412.596	426.424	438.752	455.941	476.945	500.568	525.473	552.898	582.75	2016
1505	PPPGDP	CHN	305.945	351.572	406.99	468.745	559.159	654.954	727.625	833.501	960.161	1,039.39	1,119.87	1,263.60	1,477.23	1,722.59	1,989.71	2,254.64	2,523.08	2,802.37	3,053.74	3,336.11	3,698.62	4,096.90	4,538.33	5,091.71	5,760.13	6,617.29	7,686.84	9,011.95	10,070.85	11,080.89	12,405.88	13,864.86	15,235.77	16,689.40	18,228.36	19,695.74	21,291.77	23,194.41	25,176.32	27,272.31	29,463.87	31,804.23	34,316.49	2016
1549	PPPGDP	COL	78.857	88.184	94.543	99.822	106.828	113.672	122.718	132.607	142.827	153.447	165.936	175.526	187.343	202.751	217.725	233.829	242.992	255.63	259.876	252.761	266.073	276.703	287.986	305.238	330.357	357.035	392.653	430.917	454.954	465.98	490.407	533.513	565.313	602.441	640.171	666.806	688.818	720.151	758.593	802.754	848.017	895.909	947.473	2016
1593	PPPGDP	COM	0.246	0.284	0.313	0.336	0.362	0.381	0.397	0.414	0.44	0.442	0.482	0.471	0.523	0.551	0.533	0.564	0.567	0.601	0.614	0.636	0.659	0.697	0.737	0.77	0.789	0.849	0.886	0.914	0.941	0.966	0.997	1.041	1.091	1.148	1.191	1.217	1.259	1.329	1.414	1.502	1.594	1.691	1.795	2015
1637	PPPGDP	COD	19.622	21.657	22.896	24.136	26.203	27.167	29.023	30.559	31.775	32.595	31.581	29.876	27.36	24.238	23.233	24.373	24.338	22.814	22.168	21.651	20.342	20.369	21.291	22.927	25.145	27.546	29.903	32.619	35.331	36.616	39.698	43.302	47.226	52.059	58.009	62.688	65.037	68.331	72.272	76.652	81.376	86.82	92.931	2015
1681	PPPGDP	COG	3.126	3.507	3.814	4.06	4.304	4.546	4.747	4.981	6.285	7.918	8.293	8.775	9.209	9.336	9.011	9.565	10.158	10.267	10.766	10.649	11.716	12.439	13.209	13.582	14.44	16.061	17.587	17.769	19.127	20.784	22.871	24.136	25.522	26.782	29.127	30.212	29.777	30.607	34.054	35.319	37.087	38.746	40.424	2014
1725	PPPGDP	CRI	8.173	8.734	8.601	9.196	10.286	10.692	11.512	12.368	13.24	14.534	15.615	16.5	18.428	20.203	21.559	22.916	23.623	25.364	27.425	28.942	30.735	32.533	34.12	36.281	38.896	41.701	46.093	51.185	54.615	54.496	57.894	61.634	65.78	68.359	72.127	76.347	80.699	85.781	91.174	96.827	102.612	108.711	115.19	2015
1769	PPPGDP	CIV	15.382	17.406	18.523	18.773	19.05	20.368	21.776	22.22	23.26	24.877	25.516	26.376	26.91	27.5	28.134	30.321	33.386	35.901	38.08	39.288	39.351	40.296	40.233	40.477	42.102	44.205	46.254	48.323	50.524	52.562	54.278	53.073	59.51	66.078	73.191	80.6	87.798	95.887	105.095	115.126	125.684	137.061	149.162	2014
1813	PPPGDP	HRV	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	38.25	36.027	38.965	42.416	45.728	49.601	51.073	51.37	54.517	57.675	61.633	66.356	70.964	76.297	82.405	88.954	92.562	86.378	85.946	87.473	87.136	87.602	88.731	91.158	95.063	100.006	104.916	109.848	114.604	119.461	124.56	2015
1857	PPPGDP	CYP	3.242	3.653	4.123	4.514	5.087	5.499	5.811	6.384	7.157	8.037	8.951	9.318	10.423	10.745	11.621	13.041	13.456	14.037	14.933	15.893	17.185	18.21	19.118	19.982	21.47	22.986	24.761	26.645	28.217	27.928	28.642	29.326	28.924	27.641	27.706	28.473	29.666	31.093	32.515	33.948	35.347	36.813	38.363	2016
1901	PPPGDP	CZE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	143.363	152.232	153.794	154.972	159.606	170.247	179.441	185.196	195.692	211.022	231.843	255.4	276.693	289.769	277.833	287.682	299.507	302.584	305.984	319.919	338.027	350.72	368.659	385.023	402.374	419.753	438.192	457.626	2015
1945	PPPGDP	DNK	58.975	64.058	70.533	75.224	81.14	87.087	93.2	95.822	99.16	103.685	109.102	114.307	119.201	122.046	131.29	137.969	144.569	151.837	156.882	163.979	173.997	179.426	183.032	187.407	197.698	208.836	223.674	231.709	235.048	225.215	232.224	240.186	245.17	251.459	260.249	267.271	273.865	284.04	295.337	307.252	319.32	331.735	344.855	2015
1989	PPPGDP	DJI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.168	1.202	1.147	1.156	1.139	1.116	1.122	1.135	1.186	1.222	1.272	1.333	1.403	1.482	1.577	1.704	1.837	1.982	2.029	2.139	2.343	2.501	2.669	2.88	3.1	3.345	3.658	4.002	4.376	4.732	5.117	5.537	2014
2033	PPPGDP	DMA	0.125	0.151	0.167	0.178	0.192	0.201	0.22	0.24	0.267	0.277	0.303	0.317	0.331	0.346	0.354	0.372	0.391	0.406	0.426	0.434	0.454	0.464	0.458	0.497	0.526	0.547	0.59	0.644	0.703	0.7	0.714	0.727	0.732	0.75	0.795	0.79	0.805	0.847	0.885	0.923	0.961	0.998	1.034	2015
2077	PPPGDP	DOM	13.501	15.393	16.626	18.082	18.958	19.15	20.224	22.838	24.147	26.19	25.678	26.783	28.917	31.745	33.169	35.723	38.971	42.818	46.308	50.168	54.208	56.437	60.615	61.665	64.187	72.369	82.544	91.921	96.732	98.389	107.874	113.516	118.837	126.482	138.543	149.893	161.838	174.18	186.983	200.639	214.919	230.237	246.778	2016
2121	PPPGDP	ECU	26.063	29.608	31.823	32.153	34.692	37.378	39.311	37.907	43.347	45.161	48.24	52.394	55.526	57.984	61.739	64.447	66.759	70.841	73.949	71.522	73.948	78.671	83.151	87.118	96.864	105.271	113.283	118.845	128.879	130.594	136.849	150.664	162.097	172.862	182.982	185.243	183.61	184.629	188.274	193.753	200.054	207.257	214.868	2015
2165	PPPGDP	EGY	91.072	101.764	115.964	131.241	146.799	162.746	173.929	185.989	200.188	214.196	227.338	239.837	246.041	259.199	275.801	294.177	314.161	338.454	367.932	396.387	427.23	452.366	473.942	498.829	533.521	575.311	633.572	696.532	761.019	802.635	854.26	887.28	923.741	969.653	1,015.79	1,071.61	1,132.37	1,197.97	1,279.53	1,376.97	1,486.22	1,607.13	1,738.23	2016
2209	PPPGDP	SLV	10.096	10.407	10.356	10.93	11.469	11.909	12.172	12.797	13.493	14.153	15.385	16.466	18.112	19.909	21.563	23.421	24.255	25.718	26.971	28.329	29.597	30.789	31.993	33.382	34.934	37.343	39.996	42.637	44.028	42.972	44.091	45.998	47.727	49.394	50.995	52.809	54.787	57.285	59.915	62.515	65.051	67.696	70.487	2016
2253	PPPGDP	GNQ	0.1	0.115	0.125	0.136	0.143	0.166	0.166	0.177	0.188	0.193	0.206	0.21	0.285	0.323	0.385	0.461	0.772	1.945	2.433	3.105	6.202	10.55	12.821	14.89	21.058	23.529	23.484	27.794	33.383	34.089	31.426	34.167	37.689	36.715	37.185	34.79	31.72	30.807	29.891	29.278	28.922	28.949	29.04	2014
2297	PPPGDP	ERI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.401	2.775	3.199	3.949	4.115	4.568	4.982	5.158	5.285	4.738	5.232	5.496	5.497	5.757	5.876	6.118	5.628	5.891	6.093	6.759	7.367	7.714	8.244	8.73	9.169	9.678	10.256	10.858	11.496	12.188	12.934	2006
2341	PPPGDP	EST	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11.09	11.14	11.618	12.46	14.168	14.912	15.01	16.943	18.425	19.845	21.742	23.746	26.807	30.469	33.704	32.502	27.927	28.964	31.804	33.785	34.817	36.44	37.364	38.451	40.275	42.331	44.431	46.6	48.922	51.419	2016
2385	PPPGDP	ETH	10.709	11.709	12.555	14.075	14.238	13.017	14.566	17.01	17.707	18.311	19.483	18.678	17.402	20.197	21.346	23.125	26.734	27.964	27.084	29.229	32.835	36.075	37.227	37.172	42.675	49.617	57.043	65.468	74.22	82.293	92.101	104.705	115.91	129.493	145.387	162.243	177.458	194.98	214.315	235.469	258.01	282.413	309.425	2016
